Origin,Coral ID,Mycrosporine- glycine,Palythine,Asterina,Shinorine,Pocilloporin,CaCO3 Density (g/ml),Color Score ,Protein,AFDW (mg/cm^2),Sym density,Chlor,Surface_Area,Chlorophyll sym,mean daily amp,mean.seasonal.amp,mean_depth,mean_turbidity,DLI,mean_salinity,mean_o2,mean.pCO2,ED50,FvFm,Regate,pCO2_amp,O2_amp,Fluor
DL,DL01,5.577431209,5.476227616,5.15014964,4.947742454,1.484319363,2.37937595,69.471,0.895666245,0.927699602,0.377255062,1.971835811,48.5070813,5.18548,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.6395,0.388873686,681.32,2.11,0.98
DL,DL02,2.073007362,2.301727764,2.218223035,2.063929341,0.353972051,2.243463197,68.641,0.4995251,0.7320142,0.249753802,0.734962153,88.7960916,2.91993,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.6895,0.227437592,681.32,2.11,0.98
DL,DL03,5.788008466,6.194977016,6.036700164,5.720180374,1.492218018,2.587510121,62.188,0.679815023,2.237407195,0.239889767,1.009737278,29.0514843,4.17544,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.655,0.228007791,681.32,2.11,0.98
DL,DL04,4.577387187,5.111812787,4.958458543,4.619211072,0.845776539,2.498957499,110.215,0.822129854,1.851403966,0.213268126,0.900694144,43.2104508,4.1884,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.6675,0.228491343,681.32,2.11,0.98
DL,DL05,3.685435166,4.004156019,3.839300405,3.593852377,0.787647151,2.30394073,51.022,0.836136323,1.613095035,0.460276486,1.467423143,49.5941022,3.16232,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.624,0.42268787,681.32,2.11,0.98
DL,DL06,4.021291278,4.658863224,3.633747546,3.383719332,1.075121321,2.495460789,60.316,1.014269161,1.922884986,0.432592951,1.275011354,41.6041524,2.92225,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.6375,0.360035396,681.32,2.11,0.98
DL,DL07,4.672103659,5.165395559,5.006623607,4.626737815,0.969573733,2.510391588,86.048,0.752209989,1.703502947,0.141694972,0.718234157,41.0917986,5.02715,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.616,0.173763604,681.32,2.11,0.98
DL,DL08,5.813782663,6.180250347,5.738819957,5.330673009,1.132761455,2.577866419,52.459,0.817036067,1.687660395,0.198682639,0.505955472,32.589495,2.52437,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.64,0.215307019,681.32,2.11,0.98
DL,DL09,5.904738817,5.825569046,5.693632622,5.475915752,1.8670805,2.323164503,60.533,1.025090825,1.562723311,0.383195203,1.39704645,54.3922263,3.61701,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.6885,0.365353346,681.32,2.11,0.98
DL,DL10,4.512834263,4.646650319,4.366866381,4.105346675,1.131251084,2.471689361,64.751,0.682503407,1.256538966,0.241904814,1.129652265,71.6253156,4.63124,1.34,11.06,2.57,4.18,12.87,35.75,6.7,503.33,36.07983,0.6405,0.198412975,681.32,2.11,0.98
FP,FP01,3.573878374,3.722414693,3.587381675,3.438845356,0.958734427,2.277438409,44.235,0.790236925,1.041915576,0.472789004,2.31708595,43.1896797,4.86059,1.27,10.39,4.2,5.44,12.41,35.72,6.72,607.26,35.09918,0.6825,0.460460759,760.29,3.16,0.75
FP,FP02,3.076020818,3.302597977,3.091377881,2.837922982,0.529951152,2.325937906,51.044,0.812649289,1.315967558,0.219315055,2.44074865,49.3933149,11.033,1.27,10.39,4.2,5.44,12.41,35.72,6.72,607.26,35.09918,0.675,0.542715479,760.29,3.16,0.75
FP,FP03,4.818053283,5.428612126,5.348974882,5.076874327,0.882639488,2.283338907,59.502,0.787360943,0.94861138,0.265021335,0.846108048,36.8960364,3.16616,1.27,10.39,4.2,5.44,12.41,35.72,6.72,607.26,35.09918,0.6715,0.33013999,760.29,3.16,0.75
FP,FP04,5.211724916,5.50094994,5.321639796,5.06134248,1.289912025,2.390607858,37.581,1.264029733,2.075437265,0.226643765,1.752577297,55.4100102,7.6681,1.27,10.39,4.2,5.44,12.41,35.72,6.72,607.26,35.09918,0.6745,0.226643765,760.29,3.16,0.75
FP,FP05,3.474130354,3.544136181,3.348873638,3.160983038,0.932081058,2.18376099,58.57,0.897291728,1.674775158,0.382994777,1.475028818,44.7821307,3.81592,1.27,10.39,4.2,5.44,12.41,35.72,6.72,607.26,35.09918,0.6465,0.297667754,760.29,3.16,0.75
FP,FP06,5.426190398,5.495763266,5.204835981,5.008791137,1.38500664,2.201823289,73.608,1.385489704,1.923970274,0.190562851,1.291422078,51.975855,6.72205,1.27,10.39,4.2,5.44,12.41,35.72,6.72,607.26,35.09918,0.6655,0.157353288,760.29,3.16,0.75
